Depth_from_Surface_cm,Age_wmean,Ave_Density,Ave_Organics,MagSuscept_10^-5
517,31428.1,0.4149,16.63051338,2.585
518,31441.2,0.4945,15.53083923,3.42
519,31454.5,0.4254,15.72637518,2.64
520,31466.9,0.5084,15.87332809,2.3
521,31480.5,0.4863,15.68990335,2.33
522,31493.8,0.4822,14.53753629,1.81
523,31506.1,0.4138,14.91058482,0.995
524,31519.2,0.5794,16.1373835,1.375
525,31532.8,0.4178,17.06558162,1.589
526,31545.6,0.4266,15.54149086,3.3
527,31558.1,0.4806,14.81481481,2.595
528,31571.6,0.5851,16.099812,2.66
529,31584.3,0.4114,14.7301896,2.255
530,31597.7,0.5291,14.55301455,2.04
531,31611.4,0.3669,15.45380213,2.795
532,31624.4,0.3535,16.43564356,3.3
533,31637.7,0.3415,17.04245974,3.97
534,31650.8,0.3822,15.25379383,3.62
535,31664.2,0.3912,15.23517382,2.78
536,31676.8,0.3861,17.01631702,2.09
537,31689.8,0.5271,21.72263328,2.4
538,31703.4,0.3512,21.26993166,2.495
539,31716.7,0.4109,22.24385495,2.26
540,31730.1,0.402,22.08955224,1.81
541,31743.4,0.5439,21.45615003,1.455
542,31757.4,0.3129,22.43528284,1.035
543,31770.2,0.4878,22.28372284,1.46
544,31784,0.4864,20.84703947,1.07
545,31797.3,0.1059,19.91724657,1.015
546,31810.2,0.1143,18.79625062,0.795
547,31822.9,0.1165,19.89752348,0.94
548,31836.3,0.5259,20.003803,2.365
549,31848.8,0.4068,23.64798427,2.095
550,31862.2,0.5636,22.87083038,2.7
551,31907.1,0.4482,25.4573851,1.3
552,31951.9,0.3994,25.86379569,3.73
553,31995.9,0.4252,25.96425212,3.33
554,32040,0.4565,25.43263965,5
555,32085.1,0.5904,26.94783198,5.375
556,32129.2,0.482,24.06639004,5.265
557,32172.7,0.4967,22.44815784,4.6
558,32218.3,0.6584,19.79040097,3.92
559,32262.7,0.4422,24.01628223,3.745
560,32307.8,0.4874,20.88633566,5.58
561,32352.2,0.5308,24.22758101,4.71
562,32396.6,0.5504,25.09084302,4.475
563,32440.1,0.5778,20.68189685,4.175
564,32484.2,0.4957,21.68650393,5.34
565,32529.7,0.473,22.09302326,4.305
566,32574.1,0.432,21.43518519,4.845
567,32619.2,0.3891,21.61398098,4.95
568,32664.2,0.3386,21.61842882,5.21
569,32708.2,0.3639,21.90162132,4.955
570,32752.9,0.4144,19.69111969,5.61
571,32798.4,0.3447,20.27850305,4.775
572,32843,0.4159,21.30319788,4.685
573,32887.2,0.3585,21.42259414,5.075
574,32932.1,0.5205,21.21037464,5.715
575,32976.5,0.3635,20.66024759,5.195
576,33022.7,0.3286,19.5982958,5.235
577,33065.9,0.4984,20.72632424,5.7
578,33111.1,0.37,19.97297297,5.6
579,33155.5,0.426,19.81220657,5.745
580,33199.3,0.3204,20.41198502,2.7
581,33242,0.4639,20.80189696,2.2
582,33284.7,0.4249,21.98164274,4.785
583,33327.8,0.4145,20.24125452,5.025
584,33371.7,0.3982,18.96032145,5.385
585,33415.9,0.3908,20.62436029,5.34
586,33459,0.3718,20.68316299,5.15
587,33502.6,0.4184,21.74952199,4.68
588,33545.5,0.435,21.6091954,4.33
589,33587.6,0.4279,21.54709044,5.675
590,33631.7,0.5055,21.74085064,5.125
